iter	Passed	Remaining
0	2	226
1	4	197
2	5	187
3	7	175
4	9	176
5	10	171
6	12	170
7	14	165
8	16	169
9	18	165
10	20	162
11	21	160
12	23	160
13	25	156
14	27	154
15	28	152
16	30	149
17	32	146
18	33	143
19	35	141
20	37	140
21	39	139
22	40	136
23	42	134
24	44	132
25	45	130
26	47	127
27	48	124
28	49	121
29	51	119
30	52	116
31	53	114
32	54	111
33	56	109
34	57	106
35	58	104
36	59	101
37	60	98
38	61	96
39	62	93
40	63	91
41	63	88
42	64	85
43	65	83
44	66	81
45	67	79
46	68	77
47	69	75
48	70	73
49	71	71
50	71	69
51	72	66
52	73	65
53	74	63
54	74	60
55	75	59
56	76	57
57	76	55
58	77	53
59	78	52
60	78	50
61	79	48
62	80	47
63	80	45
64	81	43
65	82	42
66	82	40
67	83	39
68	84	37
69	84	36
70	85	34
71	86	33
72	87	32
73	87	30
74	88	29
75	89	28
76	89	26
77	90	25
78	91	24
79	91	22
80	92	21
81	93	20
82	93	19
83	94	18
84	95	16
85	95	15
86	96	14
87	97	13
88	97	12
89	98	10
90	99	9
91	99	8
92	100	7
93	101	6
94	102	5
95	102	4
96	103	3
97	104	2
98	104	1
99	105	0
